age,sex,edu,polviews,time_took,issue,type,opinion,mf,value,id
41,Female,<bach,7,11.95,givinffor,pro,0,Harm,0,925
41,Female,<bach,7,11.95,givinffor,pro,0,Ingroup,0,925
41,Female,<bach,7,11.95,givinffor,pro,0,Liberty,1,925
41,Female,<bach,7,11.95,givinffor,pro,0,other,0,925
41,Female,<bach,7,11.95,givinffor,pro,0,Purity,1,925
41,Female,<bach,7,11.95,givinffor,pro,0,Violence,0,925
41,Female,<bach,7,11.95,givinfusa,against,1,Authority,0,925
41,Female,<bach,7,11.95,givinfusa,against,1,Fairness,1,925
41,Female,<bach,7,11.95,givinfusa,against,1,Harm,1,925
41,Female,<bach,7,11.95,givinfusa,against,1,Ingroup,0,925
41,Female,<bach,7,11.95,givinfusa,against,1,Liberty,1,925
41,Female,<bach,7,11.95,givinfusa,against,1,other,0,925
41,Female,<bach,7,11.95,givinfusa,against,1,Purity,0,925
41,Female,<bach,7,11.95,givinfusa,against,1,Violence,0,925
41,Female,<bach,7,11.95,givinfusa,pro,0,Authority,1,925
41,Female,<bach,7,11.95,givinfusa,pro,0,Fairness,1,925
41,Female,<bach,7,11.95,givinfusa,pro,0,Harm,0,925
41,Female,<bach,7,11.95,givinfusa,pro,0,Ingroup,0,925
41,Female,<bach,7,11.95,givinfusa,pro,0,Liberty,0,925
41,Female,<bach,7,11.95,givinfusa,pro,0,other,0,925
41,Female,<bach,7,11.95,givinfusa,pro,0,Purity,0,925
41,Female,<bach,7,11.95,givinfusa,pro,0,Violence,0,925
41,Female,<bach,7,11.95,paidlvdv,against,1,Authority,0,925
41,Female,<bach,7,11.95,paidlvdv,against,1,Fairness,1,925
41,Female,<bach,7,11.95,paidlvdv,against,1,Harm,0,925
41,Female,<bach,7,11.95,paidlvdv,against,1,Ingroup,0,925
41,Female,<bach,7,11.95,paidlvdv,against,1,Liberty,0,925
41,Female,<bach,7,11.95,paidlvdv,against,1,other,0,925
41,Female,<bach,7,11.95,paidlvdv,against,1,Purity,0,925
